Title,Division,Chapter ,Arcticle,Section_Name,M.C.L Number,Section Number
Adminstration,Division 3. Boards,Chapter 2.104 - URBAN FORESTER,None,Removal of hazard trees,M.C.L 2.104.050,Section 2.104.050
Business Liscenses and Regulations,Divistion 1. General Regulations,Chapter 6.04 - ADVERTISING SIGNS AND OTHER ADVERTISING METHODS,None,Prohibited on posts and poles ,M.C.L 6.04.010 ,Section 6.04.010 
Business Liscenses and Regulations,Divistion 1. General Regulations,Chapter 6.28 - HOTELS AND ROOMINGHOUSES ,None,Reserved,M.C.L 6.28.030,Section 6.28.030
Business Liscenses and Regulations,Divistion 1. General Regulations,Chapter 6.28 - HOTELS AND ROOMINGHOUSES ,None,Reserved,M.C.L 6.28.030 ,Section 6.28.030 
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Required. ,M.C.L 7.08.020: N,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Types of permits,M.C.L 7.08.030B: ,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Types of permits,M.C.L 7.08.030C: ,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Types of permits,M.C.L 7.08.030D: ,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Types of permits,M.C.L 7.08.030E: ,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Application-Requirements and conditions,M.C.L 7.08.040B3:,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Application-Requirements and conditions,M.C.L 7.08.040B5:,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Application-Requirements and conditions,M.C.L 7.08.040D: ,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Application-Requirements and conditions,M.C.L 7.08.040G: ,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Application-Requirements and conditions,M.C.L 7.08.040H: ,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,"Fees-Application, renewal and change in management",M.C.L 7.08.060B: ,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Conitions of permits,M.C.L 7.08.070A: ,
Alcoholic Beverages,Divistion 1. General Regulations,Chapter 7.08 - BEER AND ALCOHOLIC BEVERAGES OF LESS THAN EIGHT PERCENT*,Article 1. Wholesale and Retail Permits,Conitions of permits,M.C.L 7.08.070B: ,
